kilpailija_id,tapahtuma_id,laji_id,aika,matka,toistot,stream_link
"Petteri Mäntymaa",2022,"Ajoneuvon veto",00:35:44,20,19,"https://youtu.be/EFQUwyBodqc?t=1146"
"Petteri Mäntymaa",2022,"Tykkilavetin nosto",60,,35,"https://youtu.be/aa6I-7wDWbI?t=1309"
"Petteri Mäntymaa",2022,"Taistelijan pyörä",01:05:00,105,78,"https://youtu.be/LwWMRxjM43U?t=1563"
"Petteri Mäntymaa",2023,"Ajoneuvon veto",00:38:53,50,19,"https://www.youtube.com/live/bSTLprIn9b0?feature=share&t=4937"
"Petteri Mäntymaa",2023,"Tykkilavetin nosto",60,,37,"https://www.youtube.com/live/bSTLprIn9b0?feature=share&t=7370"
"Petteri Mäntymaa",2023,"Taistelijan pyörä",01:15:00,125,90,"https://www.youtube.com/live/bSTLprIn9b0?feature=share&t=12671"
